location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence,lat,lon
atwood,convenience store,0.0,0.5,0.5,-0.4406451284885406,0.8980096578598022,2,True,43.0652,-89.3621
sun prairie,grocery store,0.0,0.6666666666666666,0.3333333333333333,-0.4457866946856181,0.6242504715919495,3,True,43.1836,-89.2137
fitchburg,general business,0.0,0.6666666666666666,0.3333333333333333,-0.4601609309514363,0.6213469008604685,3,True,42.9609,-89.4237
east washington,late night food,0.0,0.6666666666666666,0.3333333333333333,-0.473832905292511,0.7704776724179586,3,True,43.0789,-89.3532
downtown,urgent care,0.0,0.6666666666666666,0.3333333333333333,-0.4932747880617777,0.7068774501482645,9,True,43.074,-89.384
sun prairie,gym,0.0,1.0,0.0,-0.5157047510147095,0.5157047510147095,1,True,43.1836,-89.2137
camp randall,gym,0.0,1.0,0.0,-0.5345057249069214,0.5345057249069214,1,True,43.07,-89.4128
atwood,hardware store,0.0,1.0,0.0,-0.5375238656997681,0.5375238656997681,1,True,43.0652,-89.3621
monona,urgent care,0.0,1.0,0.0,-0.5390380620956421,0.5390380620956421,1,True,43.062,-89.334
junction,general business,0.0,1.0,0.0,-0.6001901030540466,0.6001901030540466,1,True,43.064,-89.51
east washington,hardware store,0.0,1.0,0.0,-0.6203780174255371,0.6203780174255371,1,True,43.0789,-89.3532
east washington,urgent care,0.0,1.0,0.0,-0.6324350237846375,0.6324350237846375,1,True,43.0789,-89.3532
willy street,convenience store,0.0,1.0,0.0,-0.6644454002380371,0.6644454002380371,1,True,43.0669,-89.3704
east washington,gym,0.0,1.0,0.0,-0.6727653741836548,0.6727653741836548,2,True,43.0789,-89.3532
willy street,gym,0.0,1.0,0.0,-0.7097033262252808,0.7097033262252808,1,True,43.0669,-89.3704
monona,hardware store,0.0,1.0,0.0,-0.7854911684989929,0.7854911684989929,1,True,43.062,-89.334
monroe street,urgent care,0.0,1.0,0.0,-0.8037773370742798,0.8037773370742798,1,True,43.0505,-89.4076
monona,pharmacy,0.0,1.0,0.0,-0.855805516242981,0.855805516242981,1,True,43.062,-89.334
