location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence
east side,pharmacy,0.0,0.0,1.0,0.0,0.6610862910747528,2,True
east side,daycare,0.0,0.0,1.0,0.0,0.9009281992912292,1,True
east side,convenience store,0.0,0.0,1.0,0.0,0.7244021495183309,3,True
isthmus,coffee shop,0.0,0.0,1.0,0.0,0.8419305682182312,1,True
isthmus,general business,0.0,0.0,1.0,0.0,0.6614621400833129,5,True
isthmus,late night food,0.0,0.0,1.0,0.0,0.8768313527107239,1,True
willy street,bakery,0.0,0.0,1.0,0.0,0.8134667277336121,1,True
willy street,pharmacy,0.0,0.0,1.0,0.0,0.8235372304916382,1,True
east washington,daycare,0.0,0.0,1.0,0.0,0.9105361104011536,1,True
atwood,grocery store,0.0,0.0,1.0,0.0,0.4832413494586944,1,True
east washington,coworking space,0.0,0.0,1.0,0.0,0.9184898734092712,2,True
marquette,bar,0.0,0.0,1.0,0.0,0.6282980144023895,2,True
downtown,hardware store,0.0,0.0,1.0,0.0,0.7182881683111191,4,True
west side,hardware store,0.0,0.0,1.0,0.0,0.5483179092407227,1,True
east washington,convenience store,0.0,0.0,1.0,0.0,0.6163522005081177,1,True
vilas,late night food,0.0,0.0,1.0,0.0,0.7728737592697144,1,True
deforest,gym,0.0,0.0,1.0,0.0,0.7894518971443176,1,True
deforest,coworking space,0.0,0.0,1.0,0.0,0.8588771820068359,1,True
fitchburg,late night food,0.0,0.0,1.0,0.0,0.6718310713768005,1,True
east washington,bar,0.1694915254237288,0.23728813559322035,0.5932203389830508,-0.014810423729783398,0.7409918055696002,59,False
willy street,general business,0.17391304347826086,0.2391304347826087,0.5869565217391305,-0.0171465348938237,0.7316591098256733,46,False
capitol square,general business,0.25,0.25,0.5,-0.019388005137443542,0.7246991097927094,8,True
general madison,gym,0.216,0.264,0.52,-0.02080321180820465,0.7177889597415924,250,False
fitchburg,pharmacy,0.2,0.3,0.5,-0.023650479316711426,0.7433837741613388,10,False
west side,general business,0.19166666666666668,0.24166666666666667,0.5666666666666667,-0.026855408151944475,0.7093695198496183,120,False
downtown,pharmacy,0.125,0.125,0.75,-0.02820289134979248,0.7760093957185745,8,True
east washington,pharmacy,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.03812094529469808,0.6999963919321696,3,True
general madison,bar,0.2135523613963039,0.29774127310061604,0.4887063655030801,-0.04076003030829851,0.7079724482197536,487,False
east side,late night food,0.2,0.2,0.6,-0.04879739284515381,0.7818094849586487,5,True
general madison,hardware store,0.2,0.2,0.6,-0.0499691367149353,0.6834346055984497,5,True
campus,coworking space,0.16666666666666666,0.25,0.5833333333333334,-0.05418255925178528,0.7272360026836395,12,False
